xc xc_err yc yc_err mag mag_err re re_err nsersic nsrsic_err BA BA_err PA PA_err sky sky_err error chi2nu prefix success_flag
15.4553 0.0207 16.5812 0.0246 9.1436 0.0175 2.8304 0.0648 0.8978 0.0284 0.7888 0.0117 41.0291 2.8976 13.3588 11.3064 0.0 1.1351 VFID0873-MRK0812 1
26.3302 0.0327 26.5923 0.0211 8.033 0.0085 4.2362 0.0508 0.6442 0.014 0.6493 0.0057 -81.1274 0.9169 21.5301 8.1094 0.0 1.3119 VFID0885-KUG1030+573 1
19.7964 0.1371 19.9882 0.1702 10.2403 0.2549 5.656 1.3738 1.5508 0.2835 0.6954 0.0724 15.1813 12.9149 -29.7121 16.612 0.0 1.1964 VFID0901-WISEAJ112600.01+565407.5 1
29.1988 0.8933 32.5827 0.7264 9.883 0.1197 11.3703 1.5685 0.5396 0.146 0.5028 0.0552 -51.3672 6.94 27.5746 7.6987 0.0 1.3646 VFID0930-UGC06228 1
33.1243 0.0276 33.6216 0.0266 7.7604 0.0057 5.5544 0.0484 0.5114 0.009 0.6375 0.0047 -45.6979 0.7047 4.8242 5.1602 0.0 1.231 VFID0938-NGC4964 1
19.2843 0.0715 19.8966 0.1458 10.0752 0.0547 4.4185 0.3217 0.9053 0.0869 0.4996 0.0209 -3.612 2.9171 5.2582 9.1659 0.0 1.3405 VFID0945-KUG1420+564 1
25.1235 0.0254 24.9185 0.034 8.493 0.0142 3.7918 0.076 0.7767 0.0218 0.6409 0.0083 -35.8557 1.4408 57.0865 9.29 0.0 1.7176 VFID0948-NGC3499 1
60.5114 0.125 61.3869 0.1002 7.5418 0.0217 11.86 0.3654 0.8718 0.0316 0.5217 0.0091 -52.2771 1.3123 5.7789 4.7311 0.0 1.9774 VFID0949-NGC3794 1
62.1253 0.0869 60.8203 0.1704 8.3964 0.0368 10.0816 0.5012 1.0355 0.05 0.5115 0.0135 -3.6278 1.8594 8.0211 3.4589 0.0 1.3338 VFID0958-NGC3264 1
11.1495 0.0819 13.4557 0.1257 10.929 0.0438 2.7729 0.1282 0.2829 0.0419 0.6139 0.0319 10.0131 4.032 62.6227 13.0273 0.0 1.1426 VFID0963-UGCA291 1
121.5271 0.0443 120.1911 0.0093 2.9414 0.0032 37.5975 0.1701 1.3235 0.0067 0.1914 0.0005 79.3214 0.0405 -193.3689 8.6611 0.0 31.4578 VFID0987-MESSIER108 1
42.6054 0.0422 42.7895 0.0617 8.9723 0.0531 5.0137 0.3734 1.4123 0.0939 0.6532 0.0257 41.2048 3.6987 30.4475 6.0109 0.0 1.8008 VFID1009-NGC3990 1
25.4954 0.0136 26.4757 0.0072 7.0217 0.0115 5.1878 0.0817 1.5824 0.0238 0.6086 0.0048 75.37 0.6166 -40.7756 13.793 0.0 2.6517 VFID1016-NGC3398 1
20.46 0.1488 24.3721 0.2137 10.7475 0.0879 3.5278 0.4081 0.667 0.1334 0.6967 0.0527 27.1922 10.9988 -3.797 9.5103 0.0 1.2461 VFID1031-SBS1204+554A 1
45.5495 0.0288 46.0674 0.0564 9.236 0.0454 3.7053 0.2276 1.2934 0.0834 0.6846 0.0184 -21.2208 3.7419 30.9507 5.1003 0.0 1.4376 VFID1049-UGC06774 1
24.612 0.0242 23.4906 0.0369 8.1434 0.0084 4.3893 0.0549 0.4819 0.0131 0.5834 0.0064 32.755 0.8525 21.9639 10.3305 0.0 1.358 VFID1050-UGC04267 1
48.6394 0.1362 47.2164 0.0712 8.5381 0.0191 7.9028 0.2131 0.559 0.0294 0.3918 0.0083 -62.4709 0.9227 6.315 4.6731 0.0 1.2395 VFID1053-UGC04800 1
42.4154 0.0119 41.459 0.0302 7.7662 0.0081 5.0057 0.0583 0.7455 0.0118 0.4181 0.0031 -22.5748 0.3908 -18.0761 5.4131 0.0 1.348 VFID1080-UGC05369 1
64.6996 0.1073 64.1086 0.0574 7.4691 0.0122 12.3621 0.2111 0.7673 0.0193 0.5319 0.0056 -71.7266 0.8047 -5.2934 2.8018 0.0 1.1521 VFID1097-HolmbergV 1
24.7249 0.0191 24.477 0.0175 8.0819 0.0068 3.1208 0.0321 0.5772 0.0127 0.9148 0.0078 35.9582 4.3834 12.8592 8.5558 0.0 1.2617 VFID1120-SBS1245+542 1
29.4536 0.0282 30.4921 0.0408 8.098 0.0116 4.4245 0.0683 0.712 0.0189 0.7222 0.0071 17.6976 1.59 6.9798 7.387 0.0 1.231 VFID1126-UGC06518 1
20.6722 0.0776 21.6031 0.1433 10.2826 0.0344 3.6325 0.1695 0.4345 0.0507 0.5329 0.0246 11.7024 2.6771 24.0144 7.8453 0.0 1.1077 VFID1157-SBS1418+536 1
54.8272 0.3412 55.7664 0.1118 8.7999 0.0521 12.995 0.9009 0.9405 0.0741 0.3009 0.0113 72.3059 1.3328 -28.9962 4.2252 0.0 1.2424 VFID1159-UGC04514 1
39.4014 0.0218 40.9893 0.0196 7.0452 0.0038 6.8421 0.0382 0.5343 0.0063 0.5971 0.0029 47.4332 0.3774 9.4551 4.3872 0.0 1.3569 VFID1166-NGC5751 1
115.1524 0.0451 115.1895 0.0411 6.0668 0.0044 16.6013 0.1027 0.7195 0.0074 0.1658 0.0007 -47.9792 0.0713 10.1951 2.5358 0.0 2.291 VFID1182-UGC05459 1
18.8255 0.0503 18.7096 0.0362 9.6811 0.047 2.3293 0.141 1.1008 0.081 0.9396 0.0355 79.5711 26.5119 74.1794 13.3285 0.0 1.41 VFID1212-UGCA219 1
32.0374 0.0223 32.0284 0.0162 7.7476 0.0041 4.1635 0.0262 0.4762 0.0067 0.7411 0.0042 -86.2657 0.8212 32.7732 4.9538 0.0 1.7789 VFID1214-NGC5875A 1
7.233 0.0164 7.0314 0.0189 9.3232 0.0294 2.0808 0.0458 0.877 0.0249 0.8938 0.0132 47.7265 5.3097 179.7739 36.5978 0.0 2.1328 VFID1218-UGCA412 1
13.573 0.0378 14.1032 0.0503 10.1048 0.0599 2.4023 0.2007 1.34 0.1334 0.887 0.0413 2.2151 15.326 -34.7861 16.5754 0.0 1.2022 VFID1232-MRK1488 1
36.8555 0.4104 37.0062 0.07 8.6575 0.0532 18.2877 1.3021 1.0235 0.0731 0.1574 0.0057 87.8183 0.5689 7.2427 6.2664 0.0 1.2661 VFID1244-UGC06667 1
31.2872 0.0746 24.182 0.143 9.996 0.038 4.723 0.1437 0.2921 0.033 0.415 0.0136 -22.1881 1.6812 17.5093 4.5337 0.0 1.3797 VFID1256-UGC08639 1
65.1545 0.4614 65.2458 0.5214 9.085 0.0581 16.5823 1.3422 0.8047 0.0838 0.2285 0.0116 -40.9385 1.2577 13.3535 2.999 0.0 1.2358 VFID1283-UGC06399 1
38.5471 0.1228 39.9683 0.7704 12.3106 5.3544 10.4258 109.628 6.4776 27.651 0.5496 0.6335 -27.9279 63.0745 -14.7425 4.0806 0.0 1.1607 VFID1300-MCG+09-15-079 1
11.0204 0.0326 11.3271 0.0263 9.4687 0.0385 2.7664 0.0961 1.0347 0.0436 0.8231 0.017 59.4818 4.9048 -52.6471 21.331 0.0 1.3094 VFID1307-SBS1657+505 1
15.7048 0.0086 14.8036 0.0096 6.5989 0.0042 2.8801 0.0184 0.9377 0.009 0.7562 0.0033 1.6224 0.7491 204.1619 25.885 0.0 7.3776 VFID1309-SBS1653+505 1
28.4079 0.0195 28.2807 0.0147 8.3863 0.0114 3.172 0.0517 0.9162 0.0197 0.5919 0.0056 54.2922 0.8929 -7.7617 7.278 0.0 1.2998 VFID1312-UGC08880 1
35.2044 0.0514 35.4701 0.0341 7.927 0.0094 6.2509 0.0815 0.5377 0.0149 0.3788 0.0041 57.8364 0.4366 26.2822 6.6396 0.0 1.2664 VFID1314-UGC04505 1
20.9736 0.2462 17.5016 0.2072 9.8526 0.0504 7.6131 0.285 0.1804 0.0328 0.2596 0.0112 49.6041 0.9687 50.7691 9.6841 0.0 1.7621 VFID1327-UGC05998 1
23.5074 0.203 24.3387 0.2133 11.2102 0.147 2.5003 0.4642 0.7857 0.192 0.9519 0.1338 -42.7534 114.3499 29.9962 8.9107 0.0 1.2158 VFID1333-IC0705 1
32.1217 0.0102 31.812 0.0118 7.2447 0.0053 4.2611 0.0316 0.9327 0.0108 0.5971 0.0026 38.4703 0.4222 45.1491 6.5621 0.0 1.3889 VFID1340-NGC3870 1
66.0699 0.007 65.3714 0.0153 6.755 0.0046 5.7075 0.0381 0.9512 0.008 0.4352 0.0017 -22.9749 0.2058 64.7683 3.5694 0.0 2.176 VFID1352-IC0902 1
34.7225 0.0253 33.8952 0.0189 7.0916 0.004 5.5636 0.034 0.537 0.0065 0.7432 0.0038 -76.0797 0.7561 80.6991 6.0614 0.0 2.0526 VFID1354-NGC6283 1
15.1526 0.0277 14.8582 0.0272 9.2 0.0158 2.7687 0.0631 0.6747 0.0215 0.9807 0.0181 6.6404 38.5952 46.1568 11.9834 0.0 1.1398 VFID1370-SBS1443+499 1
48.4215 0.0696 48.8665 0.1779 8.8522 0.073 8.748 0.8613 1.3671 0.1113 0.5693 0.028 -10.966 3.7339 20.0302 5.7439 0.0 1.5179 VFID1379-UGC04587 1
18.4829 0.1358 18.8503 0.1145 10.0519 0.0915 3.6878 0.4374 1.0565 0.1367 0.7858 0.0569 -78.0424 13.545 52.9752 15.2362 0.0 1.2652 VFID1388-SBS0837+496 1
14.5155 0.0189 15.2525 0.0252 9.1818 0.0223 2.5407 0.0738 1.0849 0.0398 0.8504 0.0137 18.655 4.7597 -11.2453 13.4621 0.0 1.2694 VFID1424-SBS1445+491 1
46.2529 1.0798 44.6387 1.7529 11.0052 0.3016 5.157 2.2765 0.5247 0.4637 0.6074 0.212 4.4898 32.3486 64.6483 10.8053 0.0 5.9924 VFID1439-UGC05172 1
40.0723 0.0078 40.4637 0.01 5.9261 0.0016 5.91 0.0151 0.5349 0.0028 0.764 0.0017 -30.7337 0.3574 56.8242 5.4635 0.0 4.1877 VFID1465-NGC6155 1
14.1306 0.0406 14.7726 0.0465 10.0616 0.0252 2.5559 0.0853 0.7681 0.0382 0.8923 0.0219 22.8334 9.1522 6.8491 9.2545 0.0 1.1707 VFID1470-SHOC529 1
40.2316 0.326 40.7813 0.3309 10.3845 0.0748 5.6864 0.5734 0.4784 0.1134 0.3534 0.032 43.7728 3.1564 5.9348 5.7516 0.0 1.3248 VFID1497-UGC05791 1
44.5063 0.5404 46.2552 0.3062 8.8068 0.0903 15.3385 1.5015 0.9311 0.1071 0.4189 0.0215 60.4856 2.9143 -47.4659 6.7985 0.0 1.2618 VFID1504-UGC04922 1
33.5525 0.1176 32.9062 0.0592 9.183 0.0308 5.035 0.219 0.7155 0.0408 0.4283 0.0126 63.213 1.4847 103.8951 7.1918 0.0 1.2809 VFID1508-UGC04307 1
31.1804 0.0525 30.9741 0.1441 9.1611 0.034 5.3236 0.2582 0.759 0.06 0.3396 0.0111 7.5925 1.2439 69.3456 9.4275 0.0 2.102 VFID1510-KUG0857+479 1
45.5139 0.118 46.3871 0.1607 9.1056 0.1005 4.0261 0.5364 1.0518 0.1529 0.7195 0.0556 -9.5832 10.7875 105.4336 13.0984 0.0 9.5493 VFID1538-NGC3595 1
58.9968 0.0111 59.9745 0.0222 6.0397 0.0041 8.325 0.0484 0.8187 0.0066 0.4848 0.0017 24.8213 0.2348 27.1837 5.1629 0.0 2.3257 VFID1543-NGC3320 1
110.391 0.0054 110.4346 0.0068 6.7848 0.0074 5.49 0.0581 1.7292 0.0162 0.6932 0.0038 35.3215 0.5637 8.9385 1.7174 0.0 1.4712 VFID1550-NGC5377 1
41.9115 0.5415 41.8875 0.3215 10.4413 0.0807 7.0058 0.7964 0.4955 0.1208 0.4435 0.0443 -59.4893 4.7097 14.4558 4.3781 0.0 1.2204 VFID1554-UGC04659 1
73.9571 0.4946 82.228 0.3818 8.9836 0.0932 16.8361 1.5409 1.0313 0.089 0.7778 0.0419 79.2548 9.5701 13.8313 1.5355 0.0 1.1806 VFID1560-UGC10310 1
58.5312 0.3535 57.5796 0.162 9.3498 0.04 7.7841 0.4364 0.4713 0.0602 0.4358 0.0219 -79.8371 2.3663 19.2529 3.9581 0.0 1.4902 VFID1567-UGC05451 1
28.4744 0.2271 29.7568 0.1735 9.8969 0.3319 9.4306 3.203 1.799 0.4268 0.557 0.0796 -70.9617 9.1332 -55.7094 11.426 0.0 1.2085 VFID1575-UGC04258 1
22.6621 0.0064 23.3894 0.0051 7.6584 0.0066 2.2751 0.0199 1.18 0.0155 0.9508 0.0052 -61.7758 5.1063 -1.9312 8.9706 0.0 1.6342 VFID1578-CGCG243-020 1
27.015 0.1775 25.6541 0.0814 10.0856 0.0546 3.8244 0.2757 0.6689 0.0852 0.5269 0.0253 -71.3535 3.8772 12.1203 9.2823 0.0 1.3211 VFID1585-KUG1043+469 1
