xc xc_err yc yc_err mag mag_err re re_err nsersic nsrsic_err BA BA_err PA PA_err sky sky_err error chi2nu prefix success_flag
163.2994 0.0229 167.5944 0.0163 3.3152 0.0014 19.5009 0.0297 0.3865 0.0018 0.4688 0.0007 54.7623 0.0798 -29.2057 4.0164 0.0 25.645 VFID1304-NGC4088 1
39.5269 0.0236 40.4734 0.0356 9.0059 0.0375 5.3393 0.2747 1.6651 0.0733 0.7948 0.0172 -8.6913 4.1268 2.5289 3.6357 0.0 1.1705 VFID1305-NGC5602 1
198.0742 0.0142 197.7985 0.007 3.4876 0.0007 22.3709 0.0187 0.5432 0.0011 0.169 0.0001 63.5123 0.0111 -7.5615 1.6744 0.0 4.5323 VFID1308-NGC4157 1
83.2683 0.0223 76.1346 0.0212 6.9139 0.1226 30.4954 5.2305 4.4103 0.2552 0.9299 0.0222 82.5574 11.9081 -62.1156 3.7925 0.0 1.361 VFID1313-UGC06917 1
35.1304 0.0099 35.1015 0.0086 7.8112 0.0059 3.4704 0.0276 0.8836 0.0089 0.6947 0.0034 -47.2105 0.6523 16.6346 4.4216 0.0 1.6976 VFID1315-CGCG273-003 1
66.6302 0.0104 67.6225 0.0043 4.8609 0.0015 9.251 0.0207 0.8512 0.003 0.3906 0.0006 76.3102 0.0638 -29.3093 4.634 0.0 4.9249 VFID1318-NGC4085 1
22.7339 0.2051 23.8162 0.1524 9.4936 0.0695 6.9752 0.4935 0.8043 0.0798 0.5912 0.0244 53.8892 4.0502 -13.0997 10.6433 0.0 1.2496 VFID1337-UGC09083 1
32.1217 0.0102 31.812 0.0118 7.2447 0.0053 4.2611 0.0316 0.9327 0.0108 0.5971 0.0026 38.4703 0.4222 45.1491 6.5621 0.0 1.3889 VFID1340-NGC3870 1
57.8742 0.0431 58.5749 0.0509 8.9551 0.0321 4.622 0.2001 1.1004 0.0489 0.5888 0.0138 40.0126 2.0988 4.4205 3.4232 0.0 1.2145 VFID1345-NGC3922 1
42.5994 1.0575 39.9545 0.3648 10.6363 0.1121 8.5252 1.1647 0.3695 0.1378 0.3521 0.0488 -72.9529 4.4414 -4.981 5.0232 0.0 1.2669 VFID1348-UGC06849 1
91.5804 0.4229 88.735 0.2975 7.8721 0.0269 16.1591 0.5776 0.4233 0.0354 0.5412 0.0184 54.9928 2.1986 -3.4964 3.0229 0.0 1.6063 VFID1351-NGC2552 1
71.5368 0.0564 71.2558 0.0565 7.8432 0.01 9.3652 0.1343 0.7147 0.0164 0.3178 0.003 -44.9184 0.3401 7.5129 2.5236 0.0 1.2926 VFID1353-NGC5673 1
51.5588 0.0268 52.4481 0.0321 8.9455 0.0336 3.0809 0.1316 1.0784 0.051 0.9636 0.0252 -21.9659 30.487 -2.6097 4.7407 0.0 1.4066 VFID1365-UGC04551 1
80.815 0.0139 80.1916 0.0125 5.2244 0.0039 10.788 0.0562 1.0878 0.0058 0.7869 0.0023 46.1711 0.5815 -39.2026 3.9195 0.0 3.7995 VFID1372-NGC5660 1
137.2134 0.0065 136.5272 0.0125 4.2034 0.0049 18.0774 0.1319 2.2504 0.0132 0.4297 0.0011 -21.6733 0.1144 -83.2438 3.4427 0.0 7.9445 VFID1376-NGC4100 1
42.818 0.109 44.056 0.1078 6.5322 0.042 18.6882 0.5364 0.898 0.0251 0.7064 0.0086 45.4596 1.625 -66.4221 12.6265 0.0 2.9146 VFID1398-UGC06930 1
92.398 0.1587 87.7759 0.3278 6.6204 0.0131 20.4327 0.4002 0.4608 0.0195 0.4897 0.0087 -11.5691 0.9676 -34.0757 4.0872 0.0 2.814 VFID1414-NGC2541 1
14.5155 0.0189 15.2525 0.0252 9.1818 0.0223 2.5407 0.0738 1.0849 0.0398 0.8504 0.0137 18.655 4.7597 -11.2453 13.4621 0.0 1.2694 VFID1424-SBS1445+491 1
33.756 0.4152 35.9021 0.2536 8.0778 1.4371 63.8078 91.4877 2.8003 1.3711 0.4669 0.0567 -61.9104 5.421 -6.8406 18.391 0.0 1.1672 VFID1428-UGC06713 1
109.9737 0.0158 110.4963 0.0082 7.2092 0.0094 6.0735 0.0807 1.526 0.018 0.6063 0.0041 84.8662 0.542 -18.5126 1.5818 0.0 1.2429 VFID1432-NGC5689 1
81.205 0.0114 81.1229 0.0145 3.6363 0.0025 12.3623 0.0448 1.09 0.0045 0.7655 0.0016 -23.7795 0.3677 -145.8981 9.7236 0.0 15.2794 VFID1433-NGC3893 1
42.0103 0.0034 42.2915 0.0038 5.8317 0.0015 3.2067 0.0079 0.9965 0.0031 0.9342 0.0017 11.1556 1.1683 80.1742 5.204 0.0 1.96 VFID1436-NGC3928 1
42.0077 0.0619 42.6798 0.0485 8.9379 0.0265 4.123 0.155 0.8239 0.0373 0.7525 0.0172 -54.6886 4.0371 -3.5654 5.2252 0.0 1.4904 VFID1438-NGC3896 1
20.5424 0.0386 20.9565 0.03 8.1691 0.0138 5.4242 0.0949 0.8197 0.0215 0.536 0.0055 -55.097 0.8232 2.4081 12.2363 0.0 1.4346 VFID1440-NGC5682 1
47.2116 0.0471 48.0179 0.065 7.2626 0.0236 11.9461 0.3062 1.3414 0.0262 0.7373 0.0096 3.7536 1.9223 4.3689 5.4016 0.0 1.3891 VFID1449-NGC5693 1
29.9546 0.0264 29.4342 0.0284 8.2537 0.0095 4.601 0.0626 0.7148 0.016 0.5563 0.0051 43.9527 0.7534 -1.7682 5.9035 0.0 1.2487 VFID1453-NGC5700 1
44.2621 0.1035 41.2327 0.0718 7.3212 0.0104 9.8545 0.1502 0.6055 0.0165 0.696 0.0082 80.4911 1.4722 23.3163 5.8434 0.0 1.6519 VFID1461-NGC3906 1
35.6099 0.026 35.3766 0.0173 6.4531 0.0038 6.3638 0.0363 0.5939 0.0066 0.668 0.003 78.3214 0.5056 11.5978 8.8701 0.0 4.542 VFID1471-NGC3985 1
32.3858 0.0261 32.6905 0.0346 7.5236 0.0067 5.1292 0.0527 0.4897 0.0099 0.664 0.0063 -37.2994 0.95 -14.3809 8.788 0.0 1.9746 VFID1488-NGC4218 1
100.1576 0.0172 100.7005 0.0179 5.8811 0.0021 11.0533 0.0313 0.5196 0.0034 0.2688 0.0007 -43.8465 0.0614 32.0151 2.247 0.0 1.8536 VFID1502-NGC4220 1
34.2003 7.9302 34.9289 2.3184 12.949 2.5831 3.0939 7.047 0.2098 3.4495 0.2727 0.8259 85.9804 71.0551 939.3168 54.2142 0.0 122.3677 VFID1503-NGC3769A 1
67.2126 0.0185 68.455 0.0133 4.3851 0.0018 10.868 0.0264 0.4812 0.0027 0.527 0.0011 -55.2935 0.1401 25.9563 8.4842 0.0 16.8786 VFID1507-NGC3949 1
161.6615 0.0128 162.8518 0.0193 4.3253 0.0014 22.482 0.024 0.3117 0.0013 0.216 0.0003 33.8707 0.0268 -5.684 2.2473 0.0 5.1145 VFID1533-NGC3877 1
169.7464 0.0061 170.9917 0.0196 4.1326 0.0021 23.9909 0.0695 1.176 0.0032 0.2772 0.0004 17.2867 0.0452 -30.6095 1.7892 0.0 2.9022 VFID1534-NGC4096 1
93.9482 0.0331 92.355 0.0157 5.7575 0.0036 17.4382 0.089 0.9067 0.0057 0.1629 0.0005 64.4732 0.0502 -18.3193 2.8225 0.0 2.1052 VFID1549-NGC4010 1
58.5312 0.3535 57.5796 0.162 9.3498 0.04 7.7841 0.4364 0.4713 0.0602 0.4358 0.0219 -79.8371 2.3663 19.2529 3.9581 0.0 1.4902 VFID1567-UGC05451 1
100.0868 0.02 99.8517 0.0182 7.7104 0.0152 5.455 0.114 1.4758 0.0266 0.7436 0.0079 -85.2846 1.5096 23.1699 1.8887 0.0 1.2632 VFID1568-NGC4346 1
50.3257 0.2865 51.8468 0.0809 8.9857 0.039 11.3254 0.6158 0.842 0.059 0.2676 0.0087 -73.4075 0.9606 13.9864 3.716 0.0 1.2949 VFID1573-IC4263 1
45.9433 0.0302 46.0418 0.0189 7.5888 0.0116 5.913 0.0925 1.0955 0.0164 0.6223 0.0053 -78.2001 0.843 -26.7102 4.6207 0.0 1.2674 VFID1590-NGC5169 1
60.7885 0.0391 60.8289 0.048 8.2889 0.0305 6.1253 0.254 1.5038 0.0515 0.8933 0.0187 13.8146 7.8283 -10.958 3.1019 0.0 1.2015 VFID1591-NGC5198 1
33.1086 0.0155 33.1598 0.0139 7.8066 0.0115 3.5973 0.0568 1.2246 0.0186 0.9018 0.0077 73.7742 3.7927 15.9728 6.4716 0.0 1.3637 VFID1595-NGC5173 1
42.1016 0.0333 41.7754 0.0641 7.2274 0.0072 8.6997 0.0882 0.5878 0.0116 0.5256 0.0042 -1.7046 0.5325 -15.6937 5.0881 0.0 1.3308 VFID1605-NGC3782 1
28.002 0.0794 27.5731 0.0909 9.3386 0.0565 3.6816 0.2611 0.8896 0.0851 0.5492 0.0234 -37.9176 3.3737 47.0832 13.5448 0.0 4.8772 VFID1607-MCG+08-25-006 1
52.5909 0.0512 49.2827 0.102 7.4576 0.0164 10.5382 0.2311 0.8723 0.0234 0.5031 0.0059 -5.8495 0.8839 27.924 5.0465 0.0 1.611 VFID1628-NGC4288 1
26.2066 0.0207 26.2626 0.0212 8.8452 0.0209 2.4408 0.0664 1.0933 0.0336 0.9393 0.0179 -11.3848 11.7037 4.4025 8.7972 0.0 1.7241 VFID1630-CGCG246-005 1
46.9981 0.0115 49.2666 0.0127 7.6102 0.0155 5.4328 0.1159 1.4805 0.0275 0.6091 0.0065 42.4872 0.9079 68.6063 5.1349 0.0 1.3281 VFID1656-UGC04393 1
23.1093 0.2049 21.8953 0.2774 9.945 0.0635 3.9234 0.3085 0.3671 0.0754 0.7516 0.0603 13.3529 10.7194 60.501 14.7395 0.0 2.5542 VFID1668-CGCG246-015 1
86.5342 0.0961 89.9376 0.5762 8.4729 0.0432 18.4809 1.0693 0.7626 0.0681 0.1689 0.0065 -5.4324 0.6544 9.1799 3.1061 0.0 1.5634 VFID1672-IC2233 1
21.6329 0.1354 21.8429 0.2538 11.1294 0.0852 3.257 0.3692 0.5826 0.1339 0.4957 0.038 5.3757 5.6322 -24.1705 8.6727 0.0 1.1946 VFID1675-MCG+08-25-008 1
